Id,Thesis,StudyProgram,KBK
45,Perancangan algoritma topsis-improved rule matching untuk analisis keamanan berkendara menggunakan sepeda motor matic / Indri Astuti,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
46,Perbedaan hasil belajar pemrograman dasar karena pengaruh penerapan model pembelajaran Group Investigation (GI) dibandingkan dengan Creative Problem Solving (CPS) berbantuan handout pada siswa kelas X Multimedia (MM) di SMK Negeri 11 Malang / Musfirati Khasanah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
47,Penerapan algoritma caesar cipher pada teknologi RFID (Radio Frequency Identification) di Poliklinik Universitas Negeri Malang / Eva Dyah Aprillia,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
48,Analisis sentimen review hotel menggunakan metode N-Gram dan Naive Bayes / Riswanda Al Farisi,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
49,Implementasi metode exponential smoothing untuk peramalan harga pangan tingkat provinsi di Pulau Jawa / Novan Farhandi Hadinata,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
50,Penilaian otomatis kemampuan membaca nyaring bahasa Indonesia bagi penutur tingkat pemula dengan metode cosine similarity / Mochammad Fadhli Zhil Iqram,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
51,Klasifikasi tingkat buta huruf menggunakan metode K means dan random forest / Anwar Ludfianto,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
52,Prediksi harga komoditas pokok pangan di Jawa Timur dengan menggunakan metode Extreme Learning Machine (ELM) / Tyas Ismi Zahrani,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
53,Penerapan algoritma linear regression dalam prediksi jumlah kendaraan bermotor di Malang / Eka Widyartha Kusuma,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
54,Pengembangan media pembelajaran interaktif pemrograman berorientasi objek bermuatan model pembelajaran teams games tournament untuk meningkatkan hasil belajar siswa kelas XI RPL SMKN 2 Singosari Kabupaten Malang / Nafa Zulfa,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
55,Hubungan antara literasi belajar TIK dan pola belajar TIK teradap kompetensi belajar TIK di kelas pada siswa kelas X Jurusan TIK SMKN Pasuruan / Sobri Efendi Purbaya,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
56,Perbedaan hasil belajar dan motivasi belajar siswa kelas X TKJ menggunakan model pembelajaran problem based learning dan think pair share pada matapelajaran jaringan dasar di SMKN 1 Udanawu Blitar / Meirza Anji Syahputra,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
57,Implementasi teorema Bayes untuk manajemen antrian berprioritas di Poliklinik Universitas Negeri Malang / Dewi Christi Yuliani,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
58,Model algoritma naive bayes untuk klasifikasi curah hujan di Kabupaten Malang / F.ti Ayyu Sayyidul Laily,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
59,Metode AHP-TOPSIS dalam menentukan kelayakan calon penerima bantuan siswa miskin di SMKN 1 Pungging Mojokerto / Fitri Umeidah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
60,Implementasi metode K-Nearest Neighbor untuk klasifikasi nilai ujian nasional berdasarkan nilai rapor / Mei Candra Kartikasari,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
61,Deteksi kemiripan topik skripsi mahasiswa teknik informatika jurusan teknik elektro universitas negeri malang menggunakan agglomerative hierarchical clustering / Nendi Oktaventi Adita Putri,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
62,Penerapan metode support vector machine untuk klasifikasi artikel jurnal pendidikan guru sekolah dasar / Ninon Oktaviani Irawan,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
63,Komparasi algoritma Naive Bayes dan Random Forest untuk klasifikasi popularitas artikel, berita bahan pembelajaran / Khalida Izdihar Rasyida,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
64,Prediksi kelulusan siswa SMA-IPA pada SNMPTN menggunakan metode Naive Bayes / Ulfa Qomaria,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
65,Pengembangan media berbasis mobile learning pada mapel simulasi dan komunikasi digital bermuatan learning cycle 7E pada siswa Jurusan Multimedia di Sekolah Menengah Kejuruan / Nidya Hanggraini,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
66,Prediksi jumlah kendaraan pribadi di Indonesia dengan metode moving average / Rani Maranita,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
