No,Judul,Tahun
139,Hubungan antara digital capability dan mastery experience terhadap adaptability skill sebagai calon guru kejuruan abad 21 pada mahasiswa s1 pti ft um,2023
140,Pengembangan bahan ajar berbasis webtoon dengan model problem based learning pada mata pelajaran desain grafis percetakan untuk mengetahui minat belajar pada siswa kelas x mm di smk,2023
141,Implementasi learning analytics dashboard untuk monitoring interaksi belajar siswa smk pada mata pelajaran dasar-dasar pengembangan perangkat lunak dan gim dalam online learning system,2023
142,"Pengaruh computer knowledge, computer anxiety, dan fasilitas laboratorium komputer terhadap kesiapan kerja peserta didik kelas xi jurusan tkj di smkn 1 udanawu",2023
143,Pengaruh problem solving skill dan communication skill terhadap kesiapan kerja mahasiswa departemen teknik elektro dan informatika universitas negeri malang di era revolusi industri 4.0,2023
144,Pengembangan media pembelajaran berbasis web responsive dilengkapi fitur pomodoro pada mata kuliah rekayasa perangkat lunak untuk mahasiswa pendidikan teknik informatika universitas negeri malang,2023
145,Pengaruh intensitas bermain game mobile online terhadap minat belajar siswa pada mata pelajaran informatika,2023
146,Pengembangan media pembelajaran interaktif bermuatan discovery learning untuk meningkatkan minat belajar dasar teknik jaringan komputer dan telekomunikasi siswa smk,2023
147,Aplikasi perhitungan angka kredit berbasis website menggunakan rule-based system untuk dupak jabatan fungsional guru tingkat smk,2023
148,Analisis efektivitas penggunaan google classroom dengan metode technique for user experience evaluation in e-learning (tuxel 2.0) pada proses belajar mengajar kompetensi tik di smk negeri kota malang,2023
149,Media pembelajaran berbasis website interaktif bermuatan model problem based learning untuk meningkatkan minat belajar dasar-dasar pengembangan perangkat lunak dan gim siswa smk,2023
150,Pengaruh model pembelajaran kooperatif tipe team games tournament melalui permainan uno terhadap minat belajar dan hasil belajar siswa kelas x tkj mata pelajaran informatika di smk muhammadiyah 1 kepanjen,2023
151,Pengembangan e-modul berbasis project based learning pada mata pelajaran pemrograman web bagi siswa kelas xi jurusan rekayasa perangkat lunak smk negeri 4 malang,2023
152,Perbandingan implementasi model pembelajaran project based learning dan discovery learning terhadap hasil belajar dan keterampilan kolaborasi siswa pada mata pelajaran informatika di smk muhammadiyah 2 malang,2023
153,Pengaruh pembelajaran kelas industri dan pengalaman prakerin terhadap kesiapan kerja siswa kompetensi keahlian teknik komputer dan jaringan smkn 1 bandung tulungagung,2023
